
name,gender,count,year
Thomas,M,2337,1886
Edward,M,2312,1886
Harry,M,2257,1886
Walter,M,1880,1886
Arthur,M,1656,1886
Fred,M,1599,1886
Albert,M,1488,1886
Clarence,M,995,1886
Samuel,M,870,1886
Louis,M,846,1886
Roy,M,767,1886
Joe,M,759,1886
Mary,F,9888,1887
Anna,F,4227,1887
Elizabeth,F,2681,1887
Emma,F,2647,1887
Margaret,F,2419,1887
Minnie,F,2215,1887
Bertha,F,2037,1887
Clara,F,1984,1887
Florence,F,1964,1887
Ida,F,1929,1887
Ethel,F,1907,1887
Annie,F,1844,1887
Bessie,F,1838,1887
Alice,F,1819,1887
Grace,F,1692,1887
Ella,F,1521,1887
Martha,F,1504,1887
Mabel,F,1494,1887
Nellie,F,1457,1887
Sarah,F,1436,1887
William,M,7470,1887
James,M,4768,1887
George,M,4284,1887
Charles,M,4031,1887
Frank,M,2883,1887
Joseph,M,2456,1887
Henry,M,2228,1887
Thomas,M,2151,1887
Edward,M,2125,1887
Robert,M,2125,1887
Harry,M,2057,1887
Walter,M,1705,1887
Arthur,M,1489,1887
Fred,M,1454,1887
Albert,M,1294,1887
Clarence,M,892,1887
Samuel,M,802,1887
Louis,M,791,1887
Roy,M,726,1887
Joe,M,685,1887
Mary,F,11754,1888
Anna,F,4982,1888
Elizabeth,F,3224,1888
Emma,F,3087,1888
Margaret,F,2904,1888
Minnie,F,2654,1888
Bertha,F,2450,1888
Florence,F,2444,1888
Ethel,F,2374,1888
Bessie,F,2278,1888
Clara,F,2230,1888
Ida,F,2229,1888
Alice,F,2202,1888
Annie,F,2188,1888
Grace,F,2090,1888
Helen,F,1847,1888
Mabel,F,1830,1888
Ella,F,1774,1888
Martha,F,1769,1888
Sarah,F,1755,1888
William,M,8705,1888
James,M,5562,1888
George,M,4912,1888
Charles,M,4591,1888
Frank,M,3459,1888
Joseph,M,2993,1888
Robert,M,2814,1888
Harry,M,2759,1888
Henry,M,2596,1888
Edward,M,2470,1888
Thomas,M,2449,1888
Walter,M,2040,1888
Arthur,M,1710,1888
Fred,M,1665,1888
Albert,M,1569,1888
Clarence,M,1022,1888
Samuel,M,931,1888
Louis,M,884,1888
Roy,M,856,1888
David,M,801,1888
Mary,F,11648,1889
Anna,F,5062,1889
Elizabeth,F,3058,1889
Margaret,F,2917,1889
Emma,F,2884,1889
Minnie,F,2624,1889
Florence,F,2465,1889
Ethel,F,2463,1889
Bessie,F,2343,1889
Clara,F,2319,1889
Bertha,F,2293,1889
Alice,F,2145,1889
Annie,F,2123,1889
Ida,F,2122,1889
Grace,F,2049,1889
Mabel,F,1947,1889
Helen,F,1909,1889
Edna,F,1815,1889
Nellie,F,1752,1889
Sarah,F,1730,1889
William,M,7772,1889
James,M,5020,1889
George,M,4430,1889
Charles,M,4199,1889
Frank,M,2975,1889
Joseph,M,2729,1889
Harry,M,2559,1889
Robert,M,2513,1889
Edward,M,2299,1889
Henry,M,2286,1889
Thomas,M,2233,1889
Walter,M,1916,1889
Arthur,M,1668,1889
Fred,M,1554,1889
Albert,M,1353,1889
Clarence,M,984,1889
Roy,M,888,1889
Louis,M,837,1889
Samuel,M,810,1889
Benjamin,M,760,1889
Mary,F,12078,1890
Anna,F,5233,1890
Elizabeth,F,3112,1890
Margaret,F,3100,1890
Emma,F,2980,1890
Florence,F,2744,1890
Ethel,F,2718,1890
Minnie,F,2650,1890
Clara,F,2496,1890
Bertha,F,2388,1890
Bessie,F,2370,1890
Helen,F,2312,1890
Grace,F,2278,1890
Alice,F,2271,1890
Annie,F,2220,1890
Ida,F,2178,1890
Mabel,F,2058,1890
Edna,F,1973,1890
Lillian,F,1862,1890
Nellie,F,1821,1890
William,M,7494,1890
James,M,5097,1890
George,M,4458,1890
Charles,M,4061,1890
Frank,M,3078,1890
Joseph,M,2670,1890
Robert,M,2541,1890
Henry,M,2349,1890
Harry,M,2345,1890
Edward,M,2282,1890
Thomas,M,2200,1890
Walter,M,1905,1890
Arthur,M,1610,1890
Fred,M,1506,1890
Albert,M,1417,1890
Clarence,M,1018,1890
Roy,M,941,1890
Louis,M,860,1890
Samuel,M,815,1890
Charlie,M,797,1890
Mary,F,11703,1891
Anna,F,5099,1891
Margaret,F,3065,1891
Elizabeth,F,3059,1891
Emma,F,2884,1891
Florence,F,2715,1891
Ethel,F,2689,1891
Minnie,F,2428,1891
Helen,F,2417,1891
Bertha,F,2372,1891
Clara,F,2360,1891
Bessie,F,2323,1891
Annie,F,2096,1891
Grace,F,2088,1891
Mabel,F,2029,1891
Alice,F,2015,1891
Ida,F,2002,1891
Edna,F,1963,1891
Ruth,F,1857,1891
Lillian,F,1812,1891
William,M,6763,1891
James,M,4516,1891
George,M,3931,1891
Charles,M,3640,1891
Frank,M,2652,1891
Joseph,M,2572,1891
Robert,M,2240,1891
Harry,M,2132,1891
Henry,M,2049,1891
Edward,M,1989,1891
Thomas,M,1982,1891
Walter,M,1668,1891
Arthur,M,1514,1891
Fred,M,1362,1891
Albert,M,1207,1891
Clarence,M,1007,1891
Roy,M,838,1891
Louis,M,786,1891
Samuel,M,753,1891
Willie,M,739,1891
Mary,F,13172,1892
Anna,F,5542,1892
Elizabeth,F,3461,1892
Margaret,F,3435,1892
Ruth,F,3290,1892
Florence,F,3154,1892
Emma,F,3128,1892
Ethel,F,3035,1892
Helen,F,2936,1892
Clara,F,2661,1892
Bertha,F,2617,1892
Minnie,F,2609,1892
Bessie,F,2541,1892
Alice,F,2373,1892
Annie,F,2348,1892
Grace,F,2299,1892
Ida,F,2259,1892
Edna,F,2218,1892
Mabel,F,2170,1892
Lillian,F,2154,1892
William,M,7782,1892
James,M,5398,1892
George,M,4760,1892
Charles,M,4319,1892
Frank,M,3150,1892
Joseph,M,3064,1892
Robert,M,2710,1892
Harry,M,2460,1892
Henry,M,2452,1892
Edward,M,2416,1892
Thomas,M,2413,1892
Walter,M,2229,1892
Arthur,M,1768,1892
Fred,M,1628,1892
Albert,M,1500,1892
Clarence,M,1276,1892
Roy,M,1048,1892
Willie,M,948,1892
Samuel,M,902,1892
Earl,M,888,1892
Mary,F,12784,1893
Anna,F,5695,1893
Ruth,F,3658,1893
Margaret,F,3565,1893
Elizabeth,F,3360,1893
Helen,F,3249,1893
Florence,F,3231,1893
Ethel,F,3119,1893
Emma,F,2968,1893
Bertha,F,2623,1893
Clara,F,2532,1893
Minnie,F,2510,1893
Alice,F,2434,1893
Edna,F,2378,1893
Bessie,F,2352,1893
Grace,F,2308,1893
Annie,F,2251,1893
Ida,F,2247,1893
Marie,F,2212,1893
Lillian,F,2193,1893
William,M,7223,1893
James,M,5029,1893
George,M,4320,1893
Charles,M,3723,1893
Joseph,M,2997,1893
Frank,M,2917,1893
Robert,M,2563,1893
Edward,M,2309,1893
Harry,M,2245,1893
Henry,M,2162,1893
Thomas,M,2157,1893
Walter,M,2004,1893
Arthur,M,1635,1893
Fred,M,1493,1893
Albert,M,1353,1893
Clarence,M,1169,1893
Roy,M,919,1893
Willie,M,882,1893
Samuel,M,851,1893
Earl,M,819,1893
Mary,F,13151,1894
Anna,F,5565,1894
Margaret,F,3701,1894
Helen,F,3676,1894
Elizabeth,F,3425,1894
Ruth,F,3372,1894
Ethel,F,3287,1894
Florence,F,3233,1894
Emma,F,2937,1894
Marie,F,2649,1894
Clara,F,2603,1894
Minnie,F,2592,1894
Bessie,F,2520,1894
Bertha,F,2496,1894
Edna,F,2458,1894
Lillian,F,2441,1894
Alice,F,2414,1894
Annie,F,2393,1894
Grace,F,2361,1894
Mabel,F,2221,1894
William,M,7274,1894
James,M,5110,1894
George,M,4365,1894
Charles,M,3788,1894
Joseph,M,2977,1894
Frank,M,2863,1894
Robert,M,2497,1894
Henry,M,2278,1894
Harry,M,2189,1894
Edward,M,2179,1894
Thomas,M,2170,1894
Walter,M,2010,1894
Arthur,M,1712,1894
Fred,M,1475,1894
Albert,M,1447,1894
Clarence,M,1185,1894
Roy,M,1018,1894
Willie,M,986,1894
Earl,M,896,1894
Louis,M,869,1894
Mary,F,13446,1895
Anna,F,5950,1895
Helen,F,4023,1895
Margaret,F,3931,1895
Elizabeth,F,3603,1895
Ruth,F,3551,1895
Florence,F,3471,1895
Ethel,F,3391,1895
Marie,F,3011,1895
Emma,F,2952,1895
Bertha,F,2626,1895
Clara,F,2613,1895
Minnie,F,2567,1895
Edna,F,2560,1895
Bessie,F,2542,1895
Lillian,F,2495,1895
Alice,F,2457,1895
Grace,F,2448,1895
Annie,F,2390,1895
Mabel,F,2359,1895
William,M,7277,1895
James,M,5335,1895
George,M,4289,1895
Charles,M,3633,1895
Frank,M,3012,1895
Joseph,M,2992,1895
Robert,M,2635,1895
Henry,M,2221,1895
Edward,M,2203,1895
Thomas,M,2153,1895
Harry,M,2128,1895
Walter,M,2015,1895
Arthur,M,1666,1895
Fred,M,1483,1895
Albert,M,1391,1895
Clarence,M,1325,1895
Willie,M,1071,1895
Roy,M,1028,1895
Paul,M,933,1895
Louis,M,913,1895
Mary,F,13811,1896
Anna,F,5860,1896
Helen,F,4392,1896
Margaret,F,4051,1896
Ruth,F,3905,1896
Ethel,F,3502,1896
Elizabeth,F,3471,1896
Florence,F,3323,1896
Marie,F,3087,1896
Emma,F,2872,1896
Lillian,F,2702,1896
Alice,F,2651,1896
Edna,F,2604,1896
Clara,F,2582,1896
Bertha,F,2565,1896
Minnie,F,2530,1896
Grace,F,2485,1896
Bessie,F,2435,1896
Annie,F,2358,1896
Rose,F,2341,1896
William,M,7747,1896
James,M,5207,1896
George,M,4286,1896
Charles,M,3639,1896
Joseph,M,3051,1896
Frank,M,2845,1896
Robert,M,2719,1896
Edward,M,2296,1896
Henry,M,2183,1896
Harry,M,2091,1896
Thomas,M,2088,1896
Walter,M,2017,1896
Arthur,M,1821,1896
Albert,M,1434,1896
Fred,M,1393,1896
Clarence,M,1254,1896
Willie,M,1092,1896
Roy,M,1027,1896
Paul,M,964,1896
Earl,M,892,1896
Mary,F,13414,1897
Anna,F,5429,1897
Helen,F,4519,1897
Margaret,F,4146,1897
Ruth,F,3878,1897
Elizabeth,F,3442,1897
Florence,F,3369,1897
Ethel,F,3182,1897
Marie,F,3078,1897
Emma,F,2698,1897
Lillian,F,2683,1897
Edna,F,2567,1897
Bertha,F,2502,1897
Grace,F,2458,1897
Clara,F,2454,1897
Alice,F,2431,1897
Bessie,F,2407,1897
Hazel,F,2339,1897
Rose,F,2316,1897
Annie,F,2307,1897
William,M,7198,1897
James,M,5113,1897
George,M,4078,1897
Charles,M,3341,1897
Joseph,M,2827,1897
Frank,M,2726,1897
Robert,M,2701,1897
Edward,M,2121,1897
Henry,M,1994,1897
Thomas,M,1980,1897
Walter,M,1895,1897
Harry,M,1879,1897
Arthur,M,1647,1897
Albert,M,1377,1897
Fred,M,1301,1897
Clarence,M,1201,1897
Willie,M,1151,1897
Roy,M,999,1897
Paul,M,923,1897
Harold,M,860,1897
Mary,F,14406,1898
Anna,F,5773,1898
Helen,F,5230,1898
Margaret,F,4696,1898
Ruth,F,4249,1898
Florence,F,3790,1898
Elizabeth,F,3659,1898
Ethel,F,3531,1898
Marie,F,3435,1898
Lillian,F,3061,1898
Alice,F,2846,1898
Edna,F,2813,1898
Emma,F,2788,1898
Clara,F,2731,1898
Grace,F,2726,1898
Bessie,F,2647,1898
Bertha,F,2642,1898
Annie,F,2470,1898
Hazel,F,2439,1898
Rose,F,2436,1898
William,M,7400,1898
James,M,5321,1898
George,M,4853,1898
Charles,M,3557,1898
Joseph,M,3171,1898
Robert,M,2932,1898
Frank,M,2925,1898
Edward,M,2337,1898
Thomas,M,2161,1898
Henry,M,2145,1898
Harry,M,2129,1898
Walter,M,2002,1898
Arthur,M,1619,1898
Fred,M,1447,1898
Albert,M,1417,1898
Clarence,M,1326,1898
Willie,M,1134,1898
Dewey,M,1115,1898
Roy,M,1049,1898
Paul,M,991,1898
Mary,F,13172,1899
Anna,F,5115,1899
Helen,F,5048,1899
Margaret,F,4249,1899
Ruth,F,3912,1899
Florence,F,3314,1899
Elizabeth,F,3287,1899
Marie,F,3156,1899
Ethel,F,2999,1899
Lillian,F,2703,1899
Edna,F,2534,1899
Alice,F,2523,1899
Emma,F,2445,1899
Clara,F,2441,1899
Grace,F,2353,1899
Bertha,F,2294,1899
Mildred,F,2291,1899
Annie,F,2289,1899
Bessie,F,2280,1899
Gladys,F,2228,1899
William,M,6086,1899
James,M,4597,1899
George,M,4018,1899
Charles,M,3147,1899
Joseph,M,2679,1899
Robert,M,2609,1899
Frank,M,2550,1899
Edward,M,1901,1899
Henry,M,1831,1899
Thomas,M,1811,1899
Walter,M,1749,1899
Harry,M,1732,1899
Arthur,M,1357,1899
Albert,M,1210,1899
Fred,M,1182,1899
Clarence,M,1139,1899
Willie,M,1088,1899
Harold,M,914,1899
Roy,M,912,1899
Paul,M,885,1899
Mary,F,16706,1900
Helen,F,6343,1900
Anna,F,6114,1900
Margaret,F,5304,1900
Ruth,F,4765,1900
Elizabeth,F,4096,1900
Florence,F,3920,1900
Ethel,F,3896,1900
Marie,F,3856,1900
Lillian,F,3414,1900
Annie,F,3324,1900
Edna,F,3102,1900
Emma,F,3095,1900
Alice,F,3059,1900
Bessie,F,3044,1900
Bertha,F,3019,1900
Grace,F,2942,1900
Rose,F,2845,1900
Clara,F,2826,1900
Mildred,F,2800,1900
William,M,8579,1900
James,M,7245,1900
George,M,5403,1900
Charles,M,4099,1900
Robert,M,3821,1900
Joseph,M,3714,1900
Frank,M,3477,1900
Edward,M,2720,1900
Henry,M,2606,1900
Thomas,M,2557,1900
Walter,M,2298,1900
Harry,M,2272,1900
Willie,M,2113,1900
Arthur,M,1853,1900
Albert,M,1741,1900
Fred,M,1646,1900
Clarence,M,1483,1900
Paul,M,1288,1900
Harold,M,1246,1900
Roy,M,1215,1900
Mary,F,13136,1901
Helen,F,5247,1901
Anna,F,4923,1901
Margaret,F,4424,1901
Ruth,F,3974,1901
Elizabeth,F,3216,1901
Marie,F,3157,1901
Florence,F,3131,1901
Ethel,F,3067,1901
Lillian,F,2681,1901
Gladys,F,2676,1901
Alice,F,2562,1901
Edna,F,2488,1901
Mildred,F,2424,1901
Grace,F,2398,1901
Annie,F,2396,1901
Emma,F,2374,1901
Clara,F,2319,1901
Bertha,F,2257,1901
Rose,F,2212,1901
William,M,5990,1901
James,M,4735,1901
George,M,3609,1901
Charles,M,3049,1901
Joseph,M,2766,1901
Robert,M,2543,1901
Frank,M,2402,1901
Edward,M,1917,1901
Henry,M,1870,1901
Thomas,M,1820,1901
Walter,M,1718,1901
Harry,M,1594,1901
Arthur,M,1329,1901
Albert,M,1317,1901
Willie,M,1294,1901
Clarence,M,1196,1901
Fred,M,1133,1901
Paul,M,924,1901
Roy,M,917,1901
Harold,M,915,1901
Mary,F,14486,1902
Helen,F,5967,1902
Anna,F,5288,1902
Margaret,F,5011,1902
Ruth,F,4384,1902
Elizabeth,F,3694,1902
Florence,F,3509,1902
Marie,F,3424,1902
Ethel,F,3295,1902
Alice,F,3135,1902
Lillian,F,3063,1902
Gladys,F,2809,1902
Edna,F,2754,1902
Mildred,F,2750,1902
Dorothy,F,2707,1902
Annie,F,2664,1902
Grace,F,2642,1902
Emma,F,2514,1902
Bessie,F,2448,1902
Rose,F,2444,1902
William,M,6616,1902
James,M,5592,1902
George,M,4223,1902
Charles,M,3361,1902
Robert,M,3180,1902
Joseph,M,3098,1902
Frank,M,2756,1902
Edward,M,2294,1902
Henry,M,2154,1902
Thomas,M,2134,1902
Walter,M,1858,1902
Harry,M,1750,1902
Willie,M,1565,1902
Arthur,M,1486,1902
Albert,M,1375,1902
Clarence,M,1292,1902
Fred,M,1286,1902
Harold,M,1077,1902
Paul,M,1067,1902
Raymond,M,1065,1902
Mary,F,14275,1903
Helen,F,6129,1903
Anna,F,5098,1903
Margaret,F,5046,1903
Ruth,F,4518,1903
Elizabeth,F,3723,1903
Marie,F,3469,1903
Florence,F,3468,1903
Ethel,F,3257,1903
Mildred,F,3088,1903
Dorothy,F,3078,1903
Alice,F,2996,1903
Lillian,F,2972,1903
Gladys,F,2674,1903
Edna,F,2667,1903
Grace,F,2615,1903
Annie,F,2551,1903
Rose,F,2478,1903
Frances,F,2365,1903
Clara,F,2342,1903
William,M,6311,1903
James,M,5480,1903
George,M,3961,1903
Charles,M,3213,1903
Joseph,M,3121,1903
Robert,M,3044,1903
Frank,M,2644,1903
Edward,M,2268,1903
Thomas,M,1962,1903
Henry,M,1922,1903
Walter,M,1840,1903
Harry,M,1647,1903
Willie,M,1454,1903
Arthur,M,1435,1903
Albert,M,1337,1903
Clarence,M,1261,1903
Fred,M,1204,1903
Paul,M,1081,1903
Harold,M,1065,1903
Raymond,M,1051,1903
Mary,F,14961,1904
Helen,F,6488,1904
Anna,F,5330,1904
Margaret,F,5302,1904
Ruth,F,4900,1904
Elizabeth,F,3833,1904
Marie,F,3595,1904
Florence,F,3572,1904
Mildred,F,3525,1904
Dorothy,F,3477,1904
Ethel,F,3296,1904
Lillian,F,3139,1904
Alice,F,3131,1904
Gladys,F,2976,1904
Edna,F,2762,1904
Frances,F,2657,1904
Annie,F,2631,1904
Rose,F,2631,1904
Grace,F,2513,1904
Bertha,F,2363,1904
William,M,6416,1904
James,M,5855,1904
George,M,4219,1904
Robert,M,3414,1904
Charles,M,3406,1904
Joseph,M,3291,1904
Frank,M,2799,1904
Edward,M,2334,1904
Henry,M,2086,1904
Thomas,M,2057,1904
Walter,M,1873,1904
Harry,M,1722,1904
Willie,M,1675,1904
Arthur,M,1495,1904
Albert,M,1453,1904
Clarence,M,1310,1904
Fred,M,1223,1904
Paul,M,1194,1904
Harold,M,1186,1904
Roy,M,1123,1904
Mary,F,16067,1905
Helen,F,6811,1905
Margaret,F,5690,1905
Anna,F,5424,1905
Ruth,F,5068,1905
Elizabeth,F,4121,1905
Dorothy,F,3937,1905
Mildred,F,3758,1905
Marie,F,3643,1905
Alice,F,3611,1905
Florence,F,3478,1905
Ethel,F,3401,1905
Lillian,F,3185,1905
Gladys,F,2996,1905
Edna,F,2953,1905
Frances,F,2887,1905
Annie,F,2793,1905
Rose,F,2724,1905
Grace,F,2630,1905
Bessie,F,2446,1905
William,M,6495,1905
James,M,6042,1905
George,M,4256,1905
Charles,M,3608,1905
Robert,M,3410,1905
Joseph,M,3302,1905
Frank,M,2837,1905
Edward,M,2366,1905
Thomas,M,2135,1905
Henry,M,2126,1905
Walter,M,1902,1905
Willie,M,1782,1905
Harry,M,1619,1905
Albert,M,1532,1905
Arthur,M,1505,1905
Clarence,M,1377,1905
Fred,M,1284,1905
Paul,M,1262,1905
Harold,M,1258,1905
Raymond,M,1159,1905
Mary,F,16370,1906
Helen,F,7176,1906
Margaret,F,6096,1906
Anna,F,5502,1906
Ruth,F,5140,1906
Dorothy,F,4326,1906
Elizabeth,F,4321,1906
Alice,F,4192,1906
Mildred,F,3873,1906
Florence,F,3691,1906
Marie,F,3690,1906
Ethel,F,3511,1906
Lillian,F,3293,1906
Frances,F,3026,1906
Edna,F,3011,1906
Gladys,F,3000,1906
Rose,F,2901,1906
Annie,F,2774,1906
Grace,F,2626,1906
Irene,F,2423,1906
William,M,6567,1906
James,M,5908,1906
George,M,4201,1906
Robert,M,3635,1906
Charles,M,3607,1906
Joseph,M,3527,1906
Frank,M,2798,1906
Edward,M,2398,1906
Thomas,M,2176,1906
Henry,M,2112,1906
Walter,M,1934,1906
Willie,M,1756,1906
Harry,M,1631,1906
Arthur,M,1486,1906
Albert,M,1469,1906
Harold,M,1330,1906
Clarence,M,1319,1906
Paul,M,1309,1906
Fred,M,1193,1906
Raymond,M,1133,1906
Mary,F,17580,1907
Helen,F,7579,1907
Margaret,F,6713,1907
Anna,F,5575,1907
Ruth,F,5573,1907
Dorothy,F,4967,1907
Elizabeth,F,4624,1907
Mildred,F,4277,1907
Alice,F,4107,1907
Marie,F,3879,1907
Florence,F,3750,1907
Ethel,F,3698,1907
Lillian,F,3542,1907
Gladys,F,3303,1907
Edna,F,3301,1907
Frances,F,3299,1907
Rose,F,3116,1907
Evelyn,F,3035,1907
Annie,F,2891,1907
Grace,F,2747,1907
William,M,6905,1907
James,M,6707,1907
George,M,4445,1907
Robert,M,4020,1907
Charles,M,3884,1907
Joseph,M,3844,1907
Frank,M,2943,1907
Edward,M,2576,1907
Henry,M,2203,1907
Thomas,M,2175,1907
Walter,M,2095,1907
Willie,M,1968,1907
Harry,M,1813,1907
Albert,M,1636,1907
Arthur,M,1553,1907
Harold,M,1452,1907
Clarence,M,1389,1907
Fred,M,1371,1907
Paul,M,1358,1907
Raymond,M,1290,1907
Mary,F,18666,1908
Helen,F,8439,1908
Margaret,F,6976,1908
Ruth,F,6180,1908
Anna,F,5860,1908
Dorothy,F,5703,1908
Elizabeth,F,4904,1908
Mildred,F,4624,1908
Alice,F,4270,1908
Marie,F,4076,1908
Florence,F,3883,1908
Ethel,F,3786,1908
Lillian,F,3634,1908
Frances,F,3593,1908
Gladys,F,3580,1908
Rose,F,3382,1908
Edna,F,3365,1908
Louise,F,2937,1908
Grace,F,2901,1908
Evelyn,F,2857,1908
William,M,7528,1908
James,M,7012,1908
George,M,4584,1908
Robert,M,4219,1908
Joseph,M,4162,1908
Charles,M,3929,1908
Frank,M,3146,1908
Edward,M,2707,1908
Thomas,M,2301,1908
